K,theta,lane,improvement_pct
50,-0.5,אלעזר המודעי-כובשי קטמון,0.5091605950059614
50,-0.5,הפלמ״ח,0.259667675429153
50,-0.5,בזק-בייט,0.8074546395096049
50,-0.5,ירמיהו-בר אילן-לוי אשכול,3.3882197850465596
50,-0.5,גולדה-שמואל הנביא,1.0167986245634704
50,-0.5,שטראוס-יחזקאל,0.0
50,-0.5,בגין (גבעת רם),0.6981565619872937
50,-0.5,גולומב,0.16771899032092472
50,-0.5,קוליץ,0.03913435032142892
50,-0.5,פייר קניג,0.6015075829659063
50,-0.5,שמגר-אוהל יהושוע-שפע חיים,1.1248192506909436
50,-0.5,בצלאל-רבין,0.0
50,-1.0,האר״י-מטודלה,0.2730158567320478
50,-1.0,אגרון-רמב״ן‎,1.1065694243609407
50,-1.0,קרן היסוד-קינג ג׳ורג׳,0.0
50,-1.0,דרך חברון,0.0
50,-1.0,ז׳בוטינסקי,0.38565923389948414
50,-1.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.25997227064981354
50,-1.0,הרצל‎,3.0177314337848324
50,-1.0,בן זכאי-יהודה הנשיא,1.3489736821368856
50,-1.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.4707680531792094
50,-1.0,בר לב,6.248813669090565
50,-1.0,צבי יהודה,0.8059290596794493
50,-1.0,הברון הירש-אליעזר הלוי,0.24799371299453946
50,-1.0,אלעזר המודעי-כובשי קטמון,0.8911328841814217
50,-1.0,הפלמ״ח,0.4525254663878347
50,-1.0,בזק-בייט,1.3425522423016707
50,-1.0,ירמיהו-בר אילן-לוי אשכול,5.607208458303327
50,-1.0,גולדה-שמואל הנביא,1.709962046748432
50,-1.0,שטראוס-יחזקאל,0.0
50,-1.0,בגין (גבעת רם),1.1850519508517339
50,-1.0,גולומב,0.2723183870195238
50,-1.0,קוליץ,0.06509379576367927
50,-1.0,פייר קניג,0.9858949978933508
50,-1.0,שמגר-אוהל יהושוע-שפע חיים,2.0836398855430227
50,-1.0,בצלאל-רבין,0.0
50,-1.5,האר״י-מטודלה,0.19115750332218243
50,-1.5,אגרון-רמב״ן‎,0.8379603771373243
50,-1.5,קרן היסוד-קינג ג׳ורג׳,0.0
50,-1.5,דרך חברון,0.0
50,-1.5,ז׳בוטינסקי,0.2861951581750448
50,-1.5,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.17807456916123351
50,-1.5,הרצל‎,2.1016877070001794
50,-1.5,בן זכאי-יהודה הנשיא,0.9036467874105495
50,-1.5,רחל אמנו-חזקיהו המלך-דוסטאי,0.32029344793621733
50,-1.5,בר לב,3.8026022957523486
50,-1.5,צבי יהודה,0.6389486669756749
50,-1.5,הברון הירש-אליעזר הלוי,0.21424981102559568
50,-1.5,אלעזר המודעי-כובשי קטמון,0.6138843038516878
50,-1.5,הפלמ״ח,0.31247552899551395
50,-1.5,בזק-בייט,0.8503888047388806
50,-1.5,ירמיהו-בר אילן-לוי אשכול,3.5873871811554374
50,-1.5,גולדה-שמואל הנביא,1.097688829729246
50,-1.5,שטראוס-יחזקאל,0.0
50,-1.5,בגין (גבעת רם),0.776429255630935
50,-1.5,גולומב,0.17052932024841055
50,-1.5,קוליץ,0.042149064839545974
50,-1.5,פייר קניג,0.6467146875224211
50,-1.5,שמגר-אוהל יהושוע-שפע חיים,1.5474068937480145
50,-1.5,בצלאל-רבין,0.0
50,-2.0,האר״י-מטודלה,0.021127817103907147
50,-2.0,אגרון-רמב״ן‎,0.10137352939911355
50,-2.0,קרן היסוד-קינג ג׳ורג׳,0.0
50,-2.0,דרך חברון,0.0
50,-2.0,ז׳בוטינסקי,0.03414402366849972
50,-2.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.01807071817967578
50,-2.0,הרצל‎,0.21905347674605619
50,-2.0,בן זכאי-יהודה הנשיא,0.09263878170449887
50,-2.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.03473366385274818
50,-2.0,בר לב,0.3410521090197455
50,-2.0,צבי יהודה,0.07893305656942538
50,-2.0,הברון הירש-אליעזר הלוי,0.030274914178351132
50,-2.0,אלעזר המודעי-כובשי קטמון,0.0647433653375728
50,-2.0,הפלמ״ח,0.03317728402420041
50,-2.0,בזק-בייט,0.07894749361016043
50,-2.0,ירמיהו-בר אילן-לוי אשכול,0.34161663120127267
50,-2.0,גולדה-שמואל הנביא,0.10384325859663801
50,-2.0,שטראוס-יחזקאל,0.0
50,-2.0,בגין (גבעת רם),0.0756161576024665
50,-2.0,גולומב,0.015876089726116684
50,-2.0,קוליץ,0.004110047358631932
50,-2.0,פייר קניג,0.06637587569090886
50,-2.0,שמגר-אוהל יהושוע-שפע חיים,0.17644730451860496
50,-2.0,בצלאל-רבין,0.0
50,-3.0,האר״י-מטודלה,8.997883209845966e-05
50,-3.0,אגרון-רמב״ן‎,0.00037220636048295076
50,-3.0,קרן היסוד-קינג ג׳ורג׳,0.0
50,-3.0,דרך חברון,0.0
50,-3.0,ז׳בוטינסקי,0.00014068676651177888
50,-3.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,3.7947896030425646e-05
50,-3.0,הרצל‎,0.0005005815012908869
50,-3.0,בן זכאי-יהודה הנשיא,0.0002276292788880585
50,-3.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.00011252619747947848
50,-3.0,בר לב,0.0005489645516545295
50,-3.0,צבי יהודה,0.00027879876370084635
50,-3.0,הברון הירש-אליעזר הלוי,0.0001636460985140193
50,-3.0,אלעזר המודעי-כובשי קטמון,0.00016657591851837813
50,-3.0,הפלמ״ח,8.72033043305409e-05
50,-3.0,בזק-בייט,0.00013620173622576483
50,-3.0,ירמיהו-בר אילן-לוי אשכול,0.0006431259125939151
50,-3.0,גולדה-שמואל הנביא,0.00018927943328220044
50,-3.0,שטראוס-יחזקאל,0.0
50,-3.0,בגין (גבעת רם),0.00014874083096833623
50,-3.0,גולומב,2.8397462609170564e-05
50,-3.0,קוליץ,8.45214768978705e-06
50,-3.0,פייר קניג,0.00016912893981014659
50,-3.0,שמגר-אוהל יהושוע-שפע חיים,0.0004961057191047532
50,-3.0,בצלאל-רבין,0.0
100,-0.5,האר״י-מטודלה,0.15760202547875324
100,-0.5,אגרון-רמב״ן‎,0.61232557226888
100,-0.5,קרן היסוד-קינג ג׳ורג׳,0.0
100,-0.5,דרך חברון,0.0
100,-0.5,ז׳בוטינסקי,0.22055474321429264
100,-0.5,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.149399435389207
100,-0.5,הרצל‎,1.7276845408404504
100,-0.5,בן זכאי-יהודה הנשיא,0.8109897703757544
100,-0.5,רחל אמנו-חזקיהו המלך-דוסטאי,0.28775610563737475
100,-0.5,בר לב,4.046063967791489
100,-0.5,צבי יהודה,0.4192177000194075
100,-0.5,הברון הירש-אליעזר הלוי,0.12433447988488547
100,-0.5,אלעזר המודעי-כובשי קטמון,0.5212063563800658
100,-0.5,הפלמ״ח,0.26798158338481215
100,-0.5,בזק-בייט,0.8309235084883237
100,-0.5,ירמיהו-בר אילן-לוי אשכול,3.488793986574508
100,-0.5,גולדה-שמואל הנביא,1.052000761717646
100,-0.5,שטראוס-יחזקאל,0.0
100,-0.5,בגין (גבעת רם),0.7190717144604007
100,-0.5,גולומב,0.1712925543488073
100,-0.5,קוליץ,0.039802534748697625
100,-0.5,פייר קניג,0.6137178918068635
100,-0.5,שמגר-אוהל יהושוע-שפע חיים,1.1618475195814344
